state,year,d,r,winner,margin_of_victory
South Dakota,2000,38,60,R,22
Tennessee,2000,47,51,R,4
Texas,2000,38,59,R,21
Utah,2000,27,67,R,40
Vermont,2000,51,41,D,10
Virginia,2000,45,53,R,8
Washington,2000,50,45,D,5
West Virginia,2000,46,52,R,6
Wisconsin,2000,49,48,D,1
Wyoming,2000,28,69,R,41
Alabama,1996,43,50,R,7
Alaska,1996,33,51,R,18
Arizona,1996,47,44,D,3
Arkansas,1996,54,37,D,17
California,1996,51,38,D,13
Colorado,1996,44,46,R,2
Connecticut,1996,53,35,D,18
D.C.,1996,85,9,D,76
Delaware,1996,52,37,D,15
Florida,1996,48,42,D,6
Georgia,1996,46,47,R,1
Hawaii,1996,57,32,D,25
Idaho,1996,34,52,R,18
Illinois,1996,54,37,D,17
Indiana,1996,42,47,R,5
Iowa,1996,50,40,D,10
Kansas,1996,36,54,R,18
Kentucky,1996,46,45,D,1
Louisiana,1996,52,40,D,12
Maine,1996,52,31,D,21
Maryland,1996,54,38,D,16
Massachusetts,1996,62,28,D,34
Michigan,1996,52,39,D,13
Minnesota,1996,51,35,D,16
Mississippi,1996,44,49,R,5
Missouri,1996,48,41,D,7
Montana,1996,41,44,R,3
Nebraska,1996,35,54,R,19
Nevada,1996,44,43,D,1
New Hampshire,1996,50,40,D,10
New Jersey,1996,54,36,D,18
New Mexico,1996,49,42,D,7
New York,1996,58,30,D,28
North Carolina,1996,44,49,R,5
North Dakota,1996,40,47,R,7
Ohio,1996,47,41,D,6
Oklahoma,1996,40,48,R,8
Oregon,1996,47,39,D,8
Pennsylvania,1996,49,40,D,9
Rhode Island,1996,60,27,D,33
South Carolina,1996,44,50,R,6
South Dakota,1996,43,47,R,4
Tennessee,1996,48,46,D,2
Texas,1996,44,49,R,5
Utah,1996,33,54,R,21
Vermont,1996,53,31,D,22
Virginia,1996,45,47,R,2
Washington,1996,50,37,D,13
West Virginia,1996,52,37,D,15
Wisconsin,1996,49,39,D,10
