year,name,geo_id,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population,state,place
2015,"Mount Pleasant town, South Carolina",16000US4548535,81309,,,2569,,,,,42.7,31982,426500,82826,82826,4159,4701,45,48535
2015,"North Charleston city, South Carolina",16000US4550875,111864,,,12975,,,,,30.7,37642,160000,40365,40365,21063,8789,45,50875
2015,"Rock Hill city, South Carolina",16000US4561405,71567,,,2845,,,,,34.5,29906,130800,40885,40885,12795,2413,45,61405
2015,"Rapid City city, South Dakota",16000US4652980,73568,,,2971,,,,,39.5,30363,170400,49702,49702,8133,2375,46,52980
2015,"Sioux Falls city, South Dakota",16000US4659020,171530,,,9388,,,,,34.6,69613,166100,53802,53802,23174,12934,46,59020
2015,"Chattanooga city, Tennessee",16000US4714000,176597,,,10918,,,,,36.6,69963,151400,40004,40004,36684,10599,47,14000
2015,"Clarksville city, Tennessee",16000US4715160,149190,86843,34182,16004,4150,1101,659,147,29.7,55418,145400,46113,46113,21792,8211,47,15160
2015,"Franklin city, Tennessee",16000US4727740,72635,,,4916,,,,,38.3,26510,347700,91786,91786,6280,6876,47,27740
2015,"Jackson city, Tennessee",16000US4737640,66980,,,3383,,,,,35.3,25199,128800,43876,43876,12802,2097,47,37640
2015,"Johnson City city, Tennessee",16000US4738320,65369,,,1114,,,,,38.2,28201,163100,40481,40481,13940,2878,47,38320
2015,"Knoxville city, Tennessee",16000US4740000,185312,135391,31222,8640,3214,269,538,308,33.1,79736,125900,37200,37200,45746,10285,47,40000
2015,"Memphis city, Tennessee",16000US4748000,655760,172475,412473,46621,13596,317,492,1106,34.1,250324,94400,36908,36908,167723,43318,47,48000
2015,"Murfreesboro city, Tennessee",16000US4751560,126121,,,8840,,,,,30.2,46882,191300,52266,52266,19695,8948,47,51560
2015,"Nashville-Davidson metropolitan government (balance), Tennessee",16000US4752006,654596,365542,178293,67526,20577,2473,0,2691,34.1,265002,185000,51393,51393,108982,88193,47,52006
2015,"Abilene city, Texas",16000US4801000,125876,74987,12400,33222,1695,559,0,59,31.3,42507,113400,44176,44176,16961,8129,48,01000
2015,"Allen city, Texas",16000US4801924,98138,,,10615,,,,,37.2,32204,262900,100167,100167,3805,19649,48,01924
2015,"Amarillo city, Texas",16000US4803000,199651,110208,10206,65392,7982,601,473,0,33.8,74766,122100,50192,50192,32545,21124,48,03000
2015,"Arlington city, Texas",16000US4804000,388122,151644,87667,112078,27955,1107,523,480,32.6,132835,144900,53487,53487,65067,79271,48,04000
2015,"Atascocita CDP, Texas",16000US4804462,78240,,,20441,,,,,32.8,24994,175600,87235,87235,5807,8657,48,04462
2015,"Austin city, Texas",16000US4805000,931840,444638,68061,327680,69696,911,175,1323,32.7,364893,282700,62250,62250,131796,181686,48,05000
2015,"Baytown city, Texas",16000US4806128,75485,,,31672,,,,,32.9,28893,102500,51791,51791,12399,13192,48,06128
2015,"Beaumont city, Texas",16000US4807000,118110,,,18815,,,,,31.6,46133,99300,47570,47570,20130,10516,48,07000
2015,"Brownsville city, Texas",16000US4810768,183888,,,170041,,,,,30.6,52309,85100,34050,34050,60608,53301,48,10768
2015,"Bryan city, Texas",16000US4810912,82106,,,29647,,,,,29.4,30599,134500,44486,44486,17117,12014,48,10912
2015,"Carrollton city, Texas",16000US4813024,133146,,,46850,,,,,36.9,47577,193400,67365,67365,15655,35327,48,13024
2015,"Cedar Park city, Texas",16000US4813552,64837,,,11872,,,,,34.4,21212,242400,90762,90762,2524,5207,48,13552
2015,"College Station city, Texas",16000US4815976,107899,,,17784,,,,,22.9,38409,203500,37478,37478,30474,16145,48,15976
2015,"Conroe city, Texas",16000US4816432,68592,,,23863,,,,,31.5,25298,158200,50112,50112,11307,13839,48,16432
2015,"Corpus Christi city, Texas",16000US4817000,324082,99657,13308,200737,6949,541,84,222,35,117609,124300,51255,51255,59155,30834,48,17000
2015,"Dallas city, Texas",16000US4819000,1300082,379630,304850,549966,40340,1569,117,1097,32.6,495362,152400,45918,45918,288715,326825,48,19000
2015,"Denton city, Texas",16000US4819972,131047,,,29350,,,,,28.7,45529,170900,52023,52023,19714,18451,48,19972
2015,"Edinburg city, Texas",16000US4822660,84501,,,74698,,,,,29.3,25073,106700,41004,41004,26499,16569,48,22660
2015,"El Paso city, Texas",16000US4824000,681136,95656,25796,542017,9804,1961,0,1438,33.1,222557,118500,45069,45069,123877,159709,48,24000
2015,"Flower Mound town, Texas",16000US4826232,71024,,,6149,,,,,40.2,23575,309600,120084,120084,2169,6860,48,26232
2015,"Fort Worth city, Texas",16000US4827000,836969,333743,154861,296133,34176,2038,296,541,32.6,285173,136700,55888,55888,133496,143404,48,27000
2015,"Frisco city, Texas",16000US4827684,154388,95728,8809,17093,27987,625,0,257,37.2,50480,332100,123055,123055,3561,30913,48,27684
2015,"Garland city, Texas",16000US4829000,236836,78950,35901,90989,24104,396,64,208,34.5,75582,128700,55725,55725,32640,62975,48,29000
2015,"Grand Prairie city, Texas",16000US4830464,187755,37224,51227,85543,10473,404,99,165,33.1,58919,136100,60838,60838,25481,44888,48,30464
2015,"Harlingen city, Texas",16000US4832372,65769,,,51727,,,,,30.1,21447,86400,35810,35810,20351,10391,48,32372
2015,"Houston city, Texas",16000US4835000,2298628,571986,505472,1028148,157897,1463,746,6208,32.6,849974,152200,48064,48064,480534,696210,48,35000
2015,"Irving city, Texas",16000US4837000,236617,57005,27079,97862,46376,258,1000,1985,32.3,84684,146800,56846,56846,34031,86756,48,37000
2015,"Killeen city, Texas",16000US4839148,140809,46572,45639,32600,5027,337,2139,173,29.2,51766,117300,44716,44716,20327,15769,48,39148
2015,"Laredo city, Texas",16000US4841464,255789,,,243190,,,,,28.8,69026,118900,40660,40660,77498,68427,48,41464
2015,"League City city, Texas",16000US4841980,98350,,,14868,,,,,35.9,35997,219200,111819,111819,7105,8361,48,41980
2015,"Lewisville city, Texas",16000US4842508,104808,,,31757,,,,,31.6,37593,157800,56254,56254,10652,24865,48,42508
2015,"Longview city, Texas",16000US4843888,81590,,,17614,,,,,36.8,30457,129900,44969,44969,13886,8782,48,43888
