year,name,geo_id,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population,state,congressional_district
2015,"Congressional District 1 (114th Congress), North Carolina",50000US3701,728488,252914,379068,64413,11191,5024,437,443,37.6,283132,111200,35148,35148,178027,48363,37,01
2015,"Congressional District 2 (114th Congress), North Carolina",50000US3702,796200,513651,129692,89775,31880,6899,762,1842,36.7,290173,165200,52471,52471,113843,71982,37,02
2015,"Congressional District 3 (114th Congress), North Carolina",50000US3703,756975,531195,138766,52881,10204,1961,328,1887,35.1,288496,159500,45716,45716,123237,30791,37,03
2015,"Congressional District 4 (114th Congress), North Carolina",50000US3704,811063,386308,250211,98365,49236,4025,698,2691,32.5,317195,181500,49423,49423,146998,117115,37,04
2015,"Congressional District 5 (114th Congress), North Carolina",50000US3705,755211,565482,96270,66165,13731,2274,306,2269,41,299365,152200,44817,44817,126549,47769,37,05
2015,"Congressional District 6 (114th Congress), North Carolina",50000US3706,753560,551476,120231,45774,17187,1617,120,1281,42.8,298146,159900,49111,49111,99598,44072,37,06
2015,"Congressional District 7 (114th Congress), North Carolina",50000US3707,785124,541189,128389,80286,6319,14466,46,302,41.6,297420,158500,47426,47426,127689,51636,37,07
2015,"Congressional District 8 (114th Congress), North Carolina",50000US3708,750103,459793,147496,70346,6914,52657,0,1218,39.2,274863,125700,43792,43792,134894,46749,37,08
2015,"Congressional District 9 (114th Congress), North Carolina",50000US3709,828929,586465,109652,73738,38797,2267,0,1284,37.7,308973,251800,76101,76101,66975,92132,37,09
2015,"Congressional District 10 (114th Congress), North Carolina",50000US3710,751909,589567,87342,47724,11303,2452,0,1462,41.4,288451,140800,42154,42154,121936,37808,37,10
2015,"Congressional District 11 (114th Congress), North Carolina",50000US3711,739784,637584,23210,44068,8945,12180,224,2825,45.2,302408,155700,42079,42079,114686,36550,37,11
2015,"Congressional District 12 (114th Congress), North Carolina",50000US3712,793964,228235,388188,111545,40913,2700,46,3073,32.8,300233,123300,37980,37980,181290,107783,37,12
2015,"Congressional District 13 (114th Congress), North Carolina",50000US3713,791492,544009,143303,66594,19384,980,0,1477,39.7,294890,216700,67118,67118,72113,61934,37,13
2015,"Congressional District (at Large) (114th Congress), North Dakota",50000US3800,756928,650304,15387,26059,9696,36789,445,434,34.9,313475,180900,60557,60557,80170,28649,38,00
2015,"Congressional District 1 (114th Congress), Ohio",50000US3901,729977,506408,160670,19620,23054,578,94,1307,37.5,286903,155100,55059,55059,104669,38688,39,01
2015,"Congressional District 2 (114th Congress), Ohio",50000US3902,730725,628340,60591,15906,9611,1325,0,443,39.4,293990,149100,52371,52371,99647,20880,39,02
2015,"Congressional District 3 (114th Congress), Ohio",50000US3903,767295,408162,248340,50828,27041,1223,145,1289,32.5,298494,117500,42601,42601,172817,87122,39,03
2015,"Congressional District 4 (114th Congress), Ohio",50000US3904,713302,627023,37484,26492,6601,1948,0,1391,40.7,277195,122800,50627,50627,93424,12836,39,04
2015,"Congressional District 5 (114th Congress), Ohio",50000US3905,721478,643068,19393,37265,8551,449,224,273,39.5,285097,133200,56098,56098,73466,17502,39,05
2015,"Congressional District 6 (114th Congress), Ohio",50000US3906,699217,659971,16492,6673,3024,1249,0,694,43.7,278729,108100,43964,43964,111523,7680,39,06
2015,"Congressional District 7 (114th Congress), Ohio",50000US3907,745591,678938,28669,15688,5315,584,60,475,40.6,284239,135700,51132,51132,93318,13483,39,07
2015,"Congressional District 8 (114th Congress), Ohio",50000US3908,727589,627646,40873,24413,13535,495,1975,452,38.8,272766,142800,54069,54069,96225,26235,39,08
2015,"Congressional District 9 (114th Congress), Ohio",50000US3909,709752,481966,119463,75476,9161,1294,368,819,38.3,293232,96900,41379,41379,143834,32725,39,09
2015,"Congressional District 10 (114th Congress), Ohio",50000US3910,720041,541200,117936,19324,15091,1063,141,1838,39,299455,122000,49490,49490,117888,33955,39,10
2015,"Congressional District 11 (114th Congress), Ohio",50000US3911,704489,264840,367843,31991,18374,1516,63,1371,38.2,301051,90800,35624,35624,180750,37369,39,11
