year,name,geo_id,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population,state,congressional_district
2015,"Congressional District 9 (114th Congress), Virginia",50000US5109,720447,642518,39289,16628,9615,318,45,2921,42,285298,119800,42174,42174,127965,18764,51,09
2015,"Congressional District 10 (114th Congress), Virginia",50000US5110,807670,498189,53146,105618,113337,1590,1011,4881,37.9,264870,472000,114793,114793,41499,172689,51,10
2015,"Congressional District 11 (114th Congress), Virginia",50000US5111,773973,355467,100157,139490,140380,1006,265,2369,36.4,265992,463600,105031,105031,56940,240292,51,11
2015,"Congressional District 1 (114th Congress), Washington",50000US5301,713051,532498,7546,65521,72085,6865,1188,799,39.3,266544,399100,86349,86349,54659,114359,53,01
2015,"Congressional District 2 (114th Congress), Washington",50000US5302,726951,520441,19575,76094,61769,8216,4774,1078,37.4,278263,310200,65000,65000,84082,109196,53,02
2015,"Congressional District 3 (114th Congress), Washington",50000US5303,711569,574343,9367,66679,22971,5665,2674,581,39.9,265756,237500,57331,57331,86853,57549,53,03
2015,"Congressional District 4 (114th Congress), Washington",50000US5304,709698,386595,5853,272713,9348,14957,233,920,33.8,238724,177500,52351,52351,118675,115209,53,04
2015,"Congressional District 5 (114th Congress), Washington",50000US5305,696426,585213,10260,43664,16074,9955,3171,624,37.6,272518,191400,47053,47053,110107,40877,53,05
2015,"Congressional District 6 (114th Congress), Washington",50000US5306,680903,529063,21710,49160,26220,12932,3471,876,42.5,270239,253600,58410,58410,78305,45233,53,06
2015,"Congressional District 7 (114th Congress), Washington",50000US5307,746317,523183,35010,53697,81996,4929,4143,2007,37.1,335747,495200,80119,80119,79431,120338,53,07
2015,"Congressional District 8 (114th Congress), Washington",50000US5308,730327,520332,21433,81057,67029,5651,2881,843,37.4,258732,321400,77320,77320,61921,95061,53,08
2015,"Congressional District 9 (114th Congress), Washington",50000US5309,728262,343523,78166,92236,161119,3203,10801,883,36.5,274741,369700,71947,71947,83986,208983,53,09
2015,"Congressional District 10 (114th Congress), Washington",50000US5310,726847,481682,44300,85598,45093,10108,12240,1322,35.7,267309,235100,56564,56564,99782,73353,53,10
2015,"Congressional District 1 (114th Congress), West Virginia",50000US5401,614959,574787,14564,8001,5892,416,339,311,41.4,243428,112200,44180,44180,99954,10449,54,01
2015,"Congressional District 2 (114th Congress), West Virginia",50000US5402,628879,568550,29779,12496,5042,421,60,992,42.3,247760,138600,47045,47045,92767,12674,54,02
2015,"Congressional District 3 (114th Congress), West Virginia",50000US5403,600290,558728,25267,6166,3144,1239,80,186,42.8,243348,88700,35913,35913,128862,6399,54,03
2015,"Congressional District 1 (114th Congress), Wisconsin",50000US5501,714073,574943,38944,69717,15973,2504,59,388,41.2,274600,184500,62206,62206,70012,33473,55,01
2015,"Congressional District 2 (114th Congress), Wisconsin",50000US5502,750045,620736,32017,46095,30742,2635,211,371,36.3,306443,212100,61224,61224,86009,52479,55,02
2015,"Congressional District 3 (114th Congress), Wisconsin",50000US5503,719264,662807,7081,17774,16871,4118,76,352,38.5,282403,148900,51219,51219,90376,19020,55,03
2015,"Congressional District 4 (114th Congress), Wisconsin",50000US5504,716998,309191,237562,121065,26669,3062,130,887,32.9,281913,129900,40748,40748,168485,70023,55,04
2015,"Congressional District 5 (114th Congress), Wisconsin",50000US5505,723853,632379,16285,42077,18218,1377,217,227,40.8,292232,219800,66777,66777,49444,34724,55,05
2015,"Congressional District 6 (114th Congress), Wisconsin",50000US5506,710564,636416,11615,31886,17993,3037,122,257,41.8,290898,155300,56326,56326,67293,25308,55,06
2015,"Congressional District 7 (114th Congress), Wisconsin",50000US5507,709049,650963,4566,15857,11613,13471,412,350,44.4,296872,153700,51863,51863,71874,16642,55,07
2015,"Congressional District 8 (114th Congress), Wisconsin",50000US5508,727491,634248,8951,36678,16634,17141,169,1615,40.6,294177,157100,56137,56137,74471,27312,55,08
2015,"Congressional District (at Large) (114th Congress), Wyoming",50000US5600,586107,492659,4704,57845,4885,12140,237,96,36.5,228937,212500,60214,60214,63425,21999,56,00
2015,"Resident Commissioner District (at Large) (114th Congress), Puerto Rico",50000US7298,3474182,26431,3291,3437388,2832,19,0,2656,40,1221851,114100,18626,18626,,,72,98
