Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational Option Type","NSLP Provision Status","Charter School (Y/N)","Charter School Number","Charter Funding Type",IRC,Low Grade,High Grade,"Enrollment (K-12)","Free Meal Count (K-12)","Percent (%) Eligible Free (K-12)","FRPM Count (K-12)","Percent (%) Eligible FRPM (K-12)","Enrollment (Ages 5-17)","Free Meal Count (Ages 5-17)","Percent (%) Eligible Free (Ages 5-17)","FRPM Count (Ages 5-17)","Percent (%) Eligible FRPM (Ages 5-17)","2013-14 CALPADS Fall 1 Certification Status"
2014-2015,19,64733,6016158,Los Angeles,Los Angeles Unified,Bryson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,833.0,605.0,0.7262905162064826,643.0,0.7719087635054022,813.0,597.0,0.7343173431734318,634.0,0.7798277982779828,Y
2014-2015,19,64733,6016166,Los Angeles,Los Angeles Unified,Buchanan Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,508.0,398.0,0.7834645669291339,419.0,0.8248031496062992,500.0,392.0,0.784,413.0,0.826,Y
2014-2015,19,64733,6016174,Los Angeles,Los Angeles Unified,Budlong Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,875.0,735.0,0.84,781.0,0.8925714285714286,865.0,725.0,0.838150289017341,771.0,0.8913294797687862,Y
2014-2015,19,64733,6016182,Los Angeles,Los Angeles Unified,Burbank Boulevard Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,357.0,257.0,0.7198879551820728,265.0,0.742296918767507,350.0,253.0,0.7228571428571429,261.0,0.7457142857142857,Y
2014-2015,19,64733,6016208,Los Angeles,Los Angeles Unified,Burton Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,443.0,407.0,0.9187358916478555,411.0,0.927765237020316,439.0,404.0,0.9202733485193622,408.0,0.929384965831435,Y
2014-2015,19,64733,6016216,Los Angeles,Los Angeles Unified,Bushnell Way Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,343.0,179.0,0.521865889212828,204.0,0.5947521865889213,335.0,174.0,0.5194029850746269,199.0,0.5940298507462687,Y
2014-2015,19,64733,6016224,Los Angeles,Los Angeles Unified,Cabrillo Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,420.0,377.0,0.8976190476190476,388.0,0.9238095238095239,408.0,367.0,0.8995098039215687,378.0,0.9264705882352942,Y
2014-2015,19,64733,6016232,Los Angeles,Los Angeles Unified,Cahuenga Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,567.0,346.0,0.6102292768959435,401.0,0.7072310405643739,555.0,341.0,0.6144144144144145,396.0,0.7135135135135136,Y
2014-2015,19,64733,6016240,Los Angeles,Los Angeles Unified,Calabash Charter Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1345,Locally funded,N,K,5,426.0,49.0,0.11502347417840375,63.0,0.14788732394366197,419.0,49.0,0.11694510739856802,63.0,0.15035799522673032,Y
2014-2015,19,64733,6016257,Los Angeles,Los Angeles Unified,Calahan Community Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1588,Locally funded,N,K,5,605.0,287.0,0.4743801652892562,354.0,0.5851239669421487,583.0,280.0,0.48027444253859347,343.0,0.5883361921097771,Y
2014-2015,19,64733,6016265,Los Angeles,Los Angeles Unified,Calvert Charter for Enriched Studies,Unified School District,Elementary Schools (Public),Traditional,,Y,1585,Locally funded,N,K,5,345.0,161.0,0.4666666666666667,208.0,0.6028985507246377,341.0,160.0,0.46920821114369504,206.0,0.6041055718475073,Y
2014-2015,19,64733,6016273,Los Angeles,Los Angeles Unified,Camellia Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,721.0,609.0,0.8446601941747572,665.0,0.9223300970873787,700.0,591.0,0.8442857142857143,646.0,0.9228571428571428,Y
2014-2015,19,64733,6016281,Los Angeles,Los Angeles Unified,Canfield Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,374.0,66.0,0.17647058823529413,78.0,0.20855614973262032,367.0,65.0,0.1771117166212534,77.0,0.2098092643051771,Y
2014-2015,19,64733,6016299,Los Angeles,Los Angeles Unified,Canoga Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,798.0,700.0,0.8771929824561403,713.0,0.893483709273183,774.0,682.0,0.8811369509043928,695.0,0.8979328165374677,Y
2014-2015,19,64733,6016307,Los Angeles,Los Angeles Unified,Cantara Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,546.0,450.0,0.8241758241758241,466.0,0.8534798534798534,531.0,439.0,0.8267419962335216,455.0,0.8568738229755178,Y
2014-2015,19,64733,6016315,Los Angeles,Los Angeles Unified,Canterbury Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,1008.0,806.0,0.7996031746031746,833.0,0.8263888888888888,985.0,791.0,0.8030456852791878,817.0,0.8294416243654822,Y
2014-2015,19,64733,6016323,Los Angeles,Los Angeles Unified,Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,,Y,0226,Locally funded,N,K,5,404.0,12.0,0.0297029702970297,13.0,0.03217821782178218,402.0,12.0,0.029850746268656716,13.0,0.03233830845771144,Y
2014-2015,19,64733,6016331,Los Angeles,Los Angeles Unified,Capistrano Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,416.0,246.0,0.5913461538461539,303.0,0.7283653846153846,400.0,237.0,0.5925,293.0,0.7325,Y
2014-2015,19,64733,6016349,Los Angeles,Los Angeles Unified,Caroldale Learning Community,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,980.0,513.0,0.523469387755102,645.0,0.6581632653061225,962.0,504.0,0.5239085239085239,632.0,0.656964656964657,Y
2014-2015,19,64733,6016356,Los Angeles,Los Angeles Unified,Carpenter Community Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1235,Locally funded,N,K,5,951.0,35.0,0.03680336487907466,39.0,0.04100946372239748,934.0,35.0,0.03747323340471092,39.0,0.0417558886509636,Y
2014-2015,19,64733,6016364,Los Angeles,Los Angeles Unified,Carson Street Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,700.0,410.0,0.5857142857142857,527.0,0.7528571428571429,678.0,396.0,0.584070796460177,511.0,0.7536873156342183,Y
2014-2015,19,64733,6016372,Los Angeles,Los Angeles Unified,Carthay Center Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,331.0,183.0,0.552870090634441,211.0,0.6374622356495468,324.0,179.0,0.5524691358024691,207.0,0.6388888888888888,Y
2014-2015,19,64733,6016380,Los Angeles,Los Angeles Unified,Castelar Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,656.0,530.0,0.8079268292682927,548.0,0.8353658536585366,638.0,516.0,0.8087774294670846,533.0,0.835423197492163,Y
2014-2015,19,64733,6016398,Los Angeles,Los Angeles Unified,Castle Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,589.0,123.0,0.20882852292020374,153.0,0.2597623089983022,573.0,118.0,0.20593368237347295,148.0,0.2582897033158813,Y
2014-2015,19,64733,6016406,Los Angeles,Los Angeles Unified,Catskill Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,574.0,431.0,0.7508710801393729,494.0,0.8606271777003485,564.0,423.0,0.75,485.0,0.8599290780141844,Y
2014-2015,19,64733,6016414,Los Angeles,Los Angeles Unified,Century Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,394.0,327.0,0.8299492385786802,330.0,0.8375634517766497,384.0,321.0,0.8359375,324.0,0.84375,Y
2014-2015,19,64733,6016422,Los Angeles,Los Angeles Unified,Chandler Learning Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1584,Locally funded,N,K,5,500.0,235.0,0.47,266.0,0.532,490.0,234.0,0.4775510204081633,264.0,0.5387755102040817,Y
2014-2015,19,64733,6016430,Los Angeles,Los Angeles Unified,Chapman Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,455.0,271.0,0.5956043956043956,303.0,0.6659340659340659,444.0,264.0,0.5945945945945946,295.0,0.6644144144144144,Y
2014-2015,19,64733,6016448,Los Angeles,Los Angeles Unified,Charnock Road Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,333.0,208.0,0.6246246246246246,231.0,0.6936936936936937,324.0,205.0,0.6327160493827161,228.0,0.7037037037037037,Y
2014-2015,19,64733,6016455,Los Angeles,Los Angeles Unified,Chase Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,664.0,599.0,0.9021084337349398,611.0,0.9201807228915663,651.0,587.0,0.901689708141321,598.0,0.9185867895545314,Y
2014-2015,19,64733,6016463,Los Angeles,Los Angeles Unified,Chatsworth Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,368.0,161.0,0.4375,203.0,0.5516304347826086,358.0,158.0,0.441340782122905,196.0,0.547486033519553,Y
2014-2015,19,64733,6016471,Los Angeles,Los Angeles Unified,Cheremoya Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,316.0,200.0,0.6329113924050633,222.0,0.7025316455696202,307.0,194.0,0.6319218241042345,215.0,0.7003257328990228,Y
2014-2015,19,64733,6016489,Los Angeles,Los Angeles Unified,Cienega Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,655.0,509.0,0.7770992366412214,520.0,0.7938931297709924,632.0,497.0,0.7863924050632911,508.0,0.8037974683544303,Y
2014-2015,19,64733,6016497,Los Angeles,Los Angeles Unified,Cimarron Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,316.0,210.0,0.6645569620253164,239.0,0.7563291139240507,313.0,208.0,0.6645367412140575,236.0,0.7539936102236422,Y
2014-2015,19,64733,6016505,Los Angeles,Los Angeles Unified,City Terrace Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,432.0,349.0,0.8078703703703703,360.0,0.8333333333333334,418.0,340.0,0.8133971291866029,350.0,0.8373205741626795,Y
2014-2015,19,64733,6016513,Los Angeles,Los Angeles Unified,Clifford Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,127.0,103.0,0.8110236220472441,109.0,0.8582677165354331,124.0,102.0,0.8225806451612904,108.0,0.8709677419354839,Y
2014-2015,19,64733,6016521,Los Angeles,Los Angeles Unified,Clover Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,628.0,106.0,0.16878980891719744,122.0,0.1942675159235669,610.0,102.0,0.16721311475409836,118.0,0.19344262295081968,Y
2014-2015,19,64733,6016539,Los Angeles,Los Angeles Unified,Coeur D'Alene Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,549.0,92.0,0.16757741347905283,112.0,0.2040072859744991,530.0,92.0,0.17358490566037735,112.0,0.21132075471698114,Y
2014-2015,19,64733,6016547,Los Angeles,Los Angeles Unified,Cohasset Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,585.0,549.0,0.9384615384615385,561.0,0.958974358974359,558.0,528.0,0.946236559139785,540.0,0.967741935483871,Y
2014-2015,19,64733,6016554,Los Angeles,Los Angeles Unified,Coldwater Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,784.0,713.0,0.9094387755102041,727.0,0.9272959183673469,767.0,700.0,0.9126466753585397,713.0,0.9295958279009127,Y
2014-2015,19,64733,6016562,Los Angeles,Los Angeles Unified,Colfax Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,,Y,1041,Locally funded,N,K,5,670.0,111.0,0.16567164179104477,133.0,0.19850746268656716,657.0,110.0,0.167427701674277,131.0,0.1993911719939117,Y
2014-2015,19,64733,6016570,Los Angeles,Los Angeles Unified,Coliseum Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,262.0,230.0,0.8778625954198473,233.0,0.8893129770992366,256.0,226.0,0.8828125,229.0,0.89453125,Y
2014-2015,19,64733,6016604,Los Angeles,Los Angeles Unified,Commonwealth Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,764.0,687.0,0.8992146596858639,711.0,0.930628272251309,751.0,674.0,0.8974700399467377,698.0,0.929427430093209,Y
2014-2015,19,64733,6016612,Los Angeles,Los Angeles Unified,Compton Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,395.0,373.0,0.9443037974683545,379.0,0.959493670886076,385.0,365.0,0.948051948051948,371.0,0.9636363636363636,Y
2014-2015,19,64733,6016620,Los Angeles,Los Angeles Unified,Corona Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,937.0,807.0,0.8612593383137673,836.0,0.8922091782283885,937.0,807.0,0.8612593383137673,836.0,0.8922091782283885,Y
2014-2015,19,64733,6016638,Los Angeles,Los Angeles Unified,Betty Plasencia Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,672.0,507.0,0.7544642857142857,547.0,0.8139880952380952,653.0,492.0,0.7534456355283308,531.0,0.8131699846860643,Y
2014-2015,19,64733,6016646,Los Angeles,Los Angeles Unified,Cowan Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,259.0,108.0,0.416988416988417,133.0,0.5135135135135135,253.0,106.0,0.4189723320158103,131.0,0.5177865612648221,Y
2014-2015,19,64733,6016653,Los Angeles,Los Angeles Unified,Crescent Heights Boulevard Elementary,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2                                       ,N,,,N,K,5,377.0,267.0,0.7082228116710876,304.0,0.8063660477453581,375.0,265.0,0.7066666666666667,302.0,0.8053333333333333,Y
2014-2015,19,64733,6016661,Los Angeles,Los Angeles Unified,Crestwood Street Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,456.0,180.0,0.39473684210526316,219.0,0.48026315789473684,445.0,175.0,0.39325842696629215,214.0,0.48089887640449436,Y
2014-2015,19,64733,6016679,Los Angeles,Los Angeles Unified,Christopher Dena Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,484.0,406.0,0.8388429752066116,422.0,0.871900826446281,476.0,399.0,0.8382352941176471,415.0,0.8718487394957983,Y
2014-2015,19,64733,6016687,Los Angeles,Los Angeles Unified,Dahlia Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,374.0,112.0,0.2994652406417112,149.0,0.3983957219251337,371.0,112.0,0.3018867924528302,147.0,0.39622641509433965,Y
2014-2015,19,64733,6016695,Los Angeles,Los Angeles Unified,Danube Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,448.0,219.0,0.4888392857142857,291.0,0.6495535714285714,437.0,217.0,0.4965675057208238,284.0,0.6498855835240275,Y
2014-2015,19,64733,6016703,Los Angeles,Los Angeles Unified,Darby Avenue Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1569,Locally funded,N,K,5,526.0,134.0,0.25475285171102663,185.0,0.3517110266159696,522.0,131.0,0.2509578544061303,182.0,0.3486590038314176,Y
2014-2015,19,64733,6016711,Los Angeles,Los Angeles Unified,Dayton Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,568.0,509.0,0.8961267605633803,519.0,0.9137323943661971,556.0,501.0,0.9010791366906474,511.0,0.9190647482014388,Y
2014-2015,19,64733,6016729,Los Angeles,Los Angeles Unified,Dearborn Elementary Charter Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1481,Locally funded,N,K,5,522.0,186.0,0.3563218390804598,230.0,0.44061302681992337,516.0,183.0,0.3546511627906977,225.0,0.436046511627907,Y
2014-2015,19,64733,6016737,Los Angeles,Los Angeles Unified,Del Amo Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,374.0,181.0,0.4839572192513369,238.0,0.6363636363636364,367.0,177.0,0.4822888283378747,233.0,0.6348773841961853,Y
2014-2015,19,64733,6016745,Los Angeles,Los Angeles Unified,Delevan Drive Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,510.0,204.0,0.4,258.0,0.5058823529411764,504.0,202.0,0.4007936507936508,255.0,0.5059523809523809,Y
2014-2015,19,64733,6016752,Los Angeles,Los Angeles Unified,Denker Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,750.0,415.0,0.5533333333333333,521.0,0.6946666666666667,724.0,398.0,0.5497237569060773,503.0,0.6947513812154696,Y
2014-2015,19,64733,6016778,Los Angeles,Los Angeles Unified,Dixie Canyon Community Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1469,Locally funded,N,K,5,704.0,124.0,0.17613636363636365,145.0,0.2059659090909091,692.0,123.0,0.1777456647398844,144.0,0.20809248554913296,Y
2014-2015,19,64733,6016786,Los Angeles,Los Angeles Unified,Dolores Street Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,617.0,370.0,0.5996758508914101,440.0,0.713128038897893,598.0,357.0,0.596989966555184,426.0,0.7123745819397993,Y
2014-2015,19,64733,6016794,Los Angeles,Los Angeles Unified,Dominguez Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,576.0,375.0,0.6510416666666666,445.0,0.7725694444444444,570.0,371.0,0.6508771929824562,441.0,0.7736842105263158,Y
2014-2015,19,64733,6016802,Los Angeles,Los Angeles Unified,Dorris Place Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,326.0,226.0,0.6932515337423313,255.0,0.7822085889570553,319.0,222.0,0.6959247648902821,251.0,0.786833855799373,Y
2014-2015,19,64733,6016810,Los Angeles,Los Angeles Unified,Tom Bradley Global Awareness Magnet,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2                                       ,N,,,N,K,5,370.0,257.0,0.6945945945945946,269.0,0.727027027027027,362.0,251.0,0.6933701657458563,263.0,0.7265193370165746,Y
2014-2015,19,64733,6016828,Los Angeles,Los Angeles Unified,Dyer Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,736.0,493.0,0.6698369565217391,567.0,0.7703804347826086,721.0,482.0,0.6685159500693482,554.0,0.768377253814147,Y
2014-2015,19,64733,6016836,Los Angeles,Los Angeles Unified,Eagle Rock Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,777.0,319.0,0.41055341055341055,410.0,0.5276705276705277,771.0,317.0,0.41115434500648507,407.0,0.5278858625162127,Y
2014-2015,19,64733,6016844,Los Angeles,Los Angeles Unified,Eastman Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,988.0,884.0,0.8947368421052632,888.0,0.8987854251012146,964.0,864.0,0.8962655601659751,868.0,0.9004149377593361,Y
2014-2015,19,64733,6016851,Los Angeles,Los Angeles Unified,El Dorado Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,493.0,408.0,0.8275862068965517,419.0,0.8498985801217038,479.0,395.0,0.824634655532359,406.0,0.8475991649269311,Y
2014-2015,19,64733,6016869,Los Angeles,Los Angeles Unified,El Oro Way Charter For Enriched Studies,Unified School District,Elementary Schools (Public),Traditional,,Y,1466,Locally funded,N,K,5,496.0,102.0,0.2056451612903226,140.0,0.28225806451612906,485.0,102.0,0.21030927835051547,140.0,0.28865979381443296,Y
2014-2015,19,64733,6016877,Los Angeles,Los Angeles Unified,El Sereno Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,432.0,383.0,0.8865740740740741,392.0,0.9074074074074074,422.0,374.0,0.8862559241706162,383.0,0.9075829383886256,Y
2014-2015,19,64733,6016885,Los Angeles,Los Angeles Unified,Elizabeth Learning Center,Unified School District,K-12 Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,12,1804.0,1668.0,0.9246119733924612,1678.0,0.9301552106430155,1781.0,1646.0,0.9241998877035373,1656.0,0.9298147108366086,Y
2014-2015,19,64733,6016893,Los Angeles,Los Angeles Unified,Elysian Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,246.0,158.0,0.6422764227642277,170.0,0.6910569105691057,239.0,156.0,0.6527196652719666,168.0,0.702928870292887,Y
2014-2015,19,64733,6016901,Los Angeles,Los Angeles Unified,Emelita Academy Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1572,Locally funded,N,K,5,413.0,207.0,0.5012106537530266,254.0,0.6150121065375302,406.0,207.0,0.5098522167487685,253.0,0.6231527093596059,Y
2014-2015,19,64733,6016935,Los Angeles,Los Angeles Unified,Encino Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,,Y,1471,Locally funded,N,K,5,553.0,81.0,0.14647377938517178,113.0,0.20433996383363473,553.0,81.0,0.14647377938517178,113.0,0.20433996383363473,Y
2014-2015,19,64733,6016943,Los Angeles,Los Angeles Unified,Erwin Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,705.0,641.0,0.9092198581560283,658.0,0.9333333333333333,684.0,622.0,0.9093567251461988,639.0,0.9342105263157895,Y
2014-2015,19,64733,6016950,Los Angeles,Los Angeles Unified,Eshelman Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,600.0,432.0,0.72,485.0,0.8083333333333333,583.0,422.0,0.7238421955403087,472.0,0.8096054888507719,Y
2014-2015,19,64733,6016968,Los Angeles,Los Angeles Unified,Euclid Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,818.0,702.0,0.8581907090464548,731.0,0.8936430317848411,804.0,691.0,0.8594527363184079,720.0,0.8955223880597015,Y
2014-2015,19,64733,6016976,Los Angeles,Los Angeles Unified,Evergreen Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,867.0,701.0,0.8085351787773933,743.0,0.8569780853517878,843.0,682.0,0.8090154211150652,724.0,0.8588374851720048,Y
2014-2015,19,64733,6016984,Los Angeles,Los Angeles Unified,Fair Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,965.0,866.0,0.8974093264248705,899.0,0.9316062176165804,939.0,843.0,0.8977635782747604,876.0,0.9329073482428115,Y
2014-2015,19,64733,6016992,Los Angeles,Los Angeles Unified,Fairburn Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,459.0,29.0,0.06318082788671024,30.0,0.06535947712418301,458.0,29.0,0.06331877729257641,30.0,0.06550218340611354,Y
2014-2015,19,64733,6017008,Los Angeles,Los Angeles Unified,Farmdale Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,526.0,415.0,0.7889733840304183,428.0,0.8136882129277566,514.0,410.0,0.7976653696498055,423.0,0.8229571984435797,Y
2014-2015,19,64733,6017016,Los Angeles,Los Angeles Unified,Fenton Avenue Charter,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,Y,0030,Directly funded,Y,2,5,750.0,504.0,0.672,629.0,0.8386666666666667,750.0,504.0,0.672,629.0,0.8386666666666667,Y
2014-2015,19,64733,6017024,Los Angeles,Los Angeles Unified,Fernangeles Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,733.0,641.0,0.8744884038199181,645.0,0.8799454297407913,708.0,623.0,0.8799435028248588,627.0,0.885593220338983,Y
2014-2015,19,64733,6017032,Los Angeles,Los Angeles Unified,Fifteenth Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,564.0,456.0,0.8085106382978723,467.0,0.8280141843971631,551.0,451.0,0.8185117967332124,461.0,0.8366606170598911,Y
2014-2015,19,64733,6017040,Los Angeles,Los Angeles Unified,Fifty-Fourth Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,290.0,205.0,0.7068965517241379,209.0,0.7206896551724138,288.0,204.0,0.7083333333333334,208.0,0.7222222222222222,Y
2014-2015,19,64733,6017057,Los Angeles,Los Angeles Unified,Fifty-Ninth Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,375.0,292.0,0.7786666666666666,309.0,0.824,364.0,283.0,0.7774725274725275,300.0,0.8241758241758241,Y
2014-2015,19,64733,6017065,Los Angeles,Los Angeles Unified,Fifty-Second Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,855.0,806.0,0.9426900584795321,812.0,0.9497076023391813,841.0,792.0,0.9417360285374554,798.0,0.9488703923900119,Y
2014-2015,19,64733,6017073,Los Angeles,Los Angeles Unified,Figueroa Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,2,5,427.0,408.0,0.955503512880562,411.0,0.9625292740046838,427.0,408.0,0.955503512880562,411.0,0.9625292740046838,Y
2014-2015,19,64733,6017081,Los Angeles,Los Angeles Unified,Hillery T. Broadous Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,684.0,653.0,0.9546783625730995,660.0,0.9649122807017544,677.0,647.0,0.9556868537666174,654.0,0.96602658788774,Y
2014-2015,19,64733,6017099,Los Angeles,Los Angeles Unified,First Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,705.0,634.0,0.8992907801418439,654.0,0.9276595744680851,688.0,618.0,0.8982558139534884,637.0,0.9258720930232558,Y
2014-2015,19,64733,6017115,Los Angeles,Los Angeles Unified,Fletcher Drive Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,368.0,339.0,0.9211956521739131,341.0,0.9266304347826086,363.0,334.0,0.9201101928374655,336.0,0.9256198347107438,Y
2014-2015,19,64733,6017123,Los Angeles,Los Angeles Unified,Florence Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,780.0,673.0,0.8628205128205129,727.0,0.9320512820512821,763.0,660.0,0.8650065530799476,713.0,0.9344692005242464,Y
2014-2015,19,64733,6017131,Los Angeles,Los Angeles Unified,Ford Boulevard Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,1215.0,1110.0,0.9135802469135802,1122.0,0.9234567901234568,1198.0,1096.0,0.9148580968280468,1108.0,0.9248747913188647,Y
2014-2015,19,64733,6017149,Los Angeles,Los Angeles Unified,Forty-Ninth Street Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,871.0,781.0,0.8966704936854191,785.0,0.9012629161882894,850.0,766.0,0.9011764705882352,770.0,0.9058823529411765,Y
