Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational Option Type","NSLP Provision Status","Charter School (Y/N)","Charter School Number","Charter Funding Type",IRC,Low Grade,High Grade,"Enrollment (K-12)","Free Meal Count (K-12)","Percent (%) Eligible Free (K-12)","FRPM Count (K-12)","Percent (%) Eligible FRPM (K-12)","Enrollment (Ages 5-17)","Free Meal Count (Ages 5-17)","Percent (%) Eligible Free (Ages 5-17)","FRPM Count (Ages 5-17)","Percent (%) Eligible FRPM (Ages 5-17)","2013-14 CALPADS Fall 1 Certification Status"
2014-2015,01,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,552.0,129.0,0.23369565217391305,144.0,0.2608695652173913,537.0,127.0,0.23649906890130354,142.0,0.2644320297951583,Y
2014-2015,01,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,3,6,871.0,21.0,0.024110218140068886,29.0,0.03329506314580941,871.0,21.0,0.024110218140068886,29.0,0.03329506314580941,Y
2014-2015,01,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,967.0,225.0,0.2326783867631851,265.0,0.27404343329886244,967.0,225.0,0.2326783867631851,265.0,0.27404343329886244,Y
2014-2015,01,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,725.0,227.0,0.31310344827586206,282.0,0.3889655172413793,725.0,227.0,0.31310344827586206,282.0,0.3889655172413793,Y
2014-2015,01,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,1030.0,127.0,0.12330097087378641,158.0,0.1533980582524272,1030.0,127.0,0.12330097087378641,158.0,0.1533980582524272,Y
2014-2015,01,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,1156.0,154.0,0.13321799307958476,200.0,0.17301038062283736,1156.0,154.0,0.13321799307958476,200.0,0.17301038062283736,Y
2014-2015,01,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,990.0,23.0,0.023232323232323233,30.0,0.030303030303030304,990.0,23.0,0.023232323232323233,30.0,0.030303030303030304,Y
2014-2015,01,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,778.0,16.0,0.02056555269922879,17.0,0.021850899742930592,752.0,16.0,0.02127659574468085,17.0,0.022606382978723406,Y
2014-2015,01,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,658.0,49.0,0.07446808510638298,60.0,0.0911854103343465,586.0,45.0,0.07679180887372014,55.0,0.09385665529010238,Y
2014-2015,01,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,862.0,132.0,0.1531322505800464,160.0,0.18561484918793503,862.0,132.0,0.1531322505800464,160.0,0.18561484918793503,Y
