cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
19645681932144,S,Crescenta Valley High,Glendale Unified,Los Angeles,704,507,561,599,566,377,74.36
19645681933472,S,Daily (Allan F.) High (Continuation),Glendale Unified,Los Angeles,180,2,,,,,
19645681933530,S,Glendale High,Glendale Unified,Los Angeles,677,254,502,536,495,136,53.54
19645681934082,S,Herbert Hoover High,Glendale Unified,Los Angeles,413,135,505,549,511,72,53.33
19645681995497,S,Verdugo Academy,Glendale Unified,Los Angeles,17,2,,,,,
19645681996131,S,Anderson W. Clark Magnet High,Glendale Unified,Los Angeles,260,171,523,580,539,119,69.59
19645760000000,D,,Glendora Unified,Los Angeles,652,330,534,554,525,217,65.76
19645761933597,S,Glendora High,Glendora Unified,Los Angeles,591,329,534,554,525,217,65.96
19645761939677,S,Whitcomb Continuation High,Glendora Unified,Los Angeles,57,1,,,,,
19645840000000,D,,Gorman Elementary,Los Angeles,174,35,516,473,473,16,45.71
19645841996305,S,Gorman Learning Center,Gorman Elementary,Los Angeles,174,35,516,473,473,16,45.71
19645920000000,D,,Hawthorne,Los Angeles,111,116,493,513,492,58,50.00
19645920100354,S,Hawthorne Math and Science Academy,Hawthorne,Los Angeles,111,116,493,513,492,58,50.00
19646340000000,D,,Inglewood Unified,Los Angeles,830,407,406,408,411,56,13.76
19646341934231,S,Inglewood High,Inglewood Unified,Los Angeles,266,113,387,389,394,9,7.96
19646341934249,S,Inglewood Continuation High,Inglewood Unified,Los Angeles,83,1,,,,,
19646341936046,S,Morningside High,Inglewood Unified,Los Angeles,232,116,380,368,379,4,3.45
19646341996529,S,City Honors College Preparatory Academy,Inglewood Unified,Los Angeles,102,92,439,429,442,23,25.00
19646341996586,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,129,85,433,466,448,20,23.53
19646590000000,D,,La Canada Unified,Los Angeles,362,261,604,627,605,228,87.36
19646591934611,S,La Canada High,La Canada Unified,Los Angeles,358,261,604,627,605,228,87.36
19646830000000,D,,Las Virgenes Unified,Los Angeles,1002,526,559,563,564,402,76.43
19646831930080,S,Agoura High,Las Virgenes Unified,Los Angeles,536,288,571,576,573,236,81.94
19646831931781,S,Calabasas High,Las Virgenes Unified,Los Angeles,455,238,545,547,554,166,69.75
19646910000000,D,,Lawndale Elementary,Los Angeles,116,116,443,445,446,26,22.41
19646911996438,S,Environmental Charter High,Lawndale Elementary,Los Angeles,116,116,443,445,446,26,22.41
19647090000000,D,,Lennox,Los Angeles,258,238,419,425,417,36,15.13
19647090100602,S,"Lennox Mathematics, Science and Technology Academy",Lennox,Los Angeles,132,119,432,426,418,18,15.13
19647091996313,S,Animo Leadership High,Lennox,Los Angeles,126,119,405,424,416,18,15.13
19647250000000,D,,Long Beach Unified,Los Angeles,6767,2878,469,470,460,1018,35.37
19647250125153,S,Beach High-Intensive Learning Program,Long Beach Unified,Los Angeles,96,0,NA,NA,NA,NA,NA
19647251930411,S,Avalon K-12,Long Beach Unified,Los Angeles,54,30,501,515,492,15,50.00
19647251934470,S,Jordan High,Long Beach Unified,Los Angeles,831,322,392,397,389,23,7.14
19647251934678,S,Lakewood High,Long Beach Unified,Los Angeles,873,426,469,469,454,136,31.92
19647251935758,S,Millikan High,Long Beach Unified,Los Angeles,898,510,472,465,464,173,33.92
19647251936947,S,Polytechnic High,Long Beach Unified,Los Angeles,1139,660,479,483,473,267,40.45
19647251937176,S,Reid High,Long Beach Unified,Los Angeles,203,1,,,,,
19647251939875,S,Wilson High,Long Beach Unified,Los Angeles,925,475,494,494,485,222,46.74
19647251995539,S,California Academy of Mathematics and Science,Long Beach Unified,Los Angeles,161,155,581,602,579,137,88.39
19647251995570,S,Educational Partnership High,Long Beach Unified,Los Angeles,785,2,,,,,
19647251995935,S,Cabrillo High,Long Beach Unified,Los Angeles,610,230,405,408,388,19,8.26
19647251996503,S,Renaissance High School for the Arts,Long Beach Unified,Los Angeles,119,67,506,459,483,24,35.82
19647330000000,D,,Los Angeles Unified,Los Angeles,43324,24305,435,439,435,5837,24.02
19647330100677,S,High Tech LA,Los Angeles Unified,Los Angeles,81,69,525,542,508,41,59.42
19647330100750,S,Wallis Annenberg High,Los Angeles Unified,Los Angeles,85,85,414,424,416,11,12.94
19647330100776,S,North Valley Military Institute College Preparator,Los Angeles Unified,Los Angeles,11,10,,,,,
19647330100800,S,Central City Value,Los Angeles Unified,Los Angeles,104,109,399,395,404,11,10.09
19647330101196,S,View Park Preparatory Accelerated High,Los Angeles Unified,Los Angeles,152,105,385,374,382,9,8.57
19647330101659,S,Crenshaw Arts-Technology Charter High,Los Angeles Unified,Los Angeles,72,61,375,362,381,3,4.92
19647330101675,S,Oscar De La Hoya Animo Charter High,Los Angeles Unified,Los Angeles,148,153,392,391,398,19,12.42
19647330101683,S,Renaissance Arts Academy,Los Angeles Unified,Los Angeles,41,39,512,499,506,18,46.15
19647330102434,S,Animo South Los Angeles Charter,Los Angeles Unified,Los Angeles,151,135,387,372,376,9,6.67
19647330102541,S,New Designs Charter,Los Angeles Unified,Los Angeles,63,63,397,410,411,11,17.46
19647330102913,S,Middle College High,Los Angeles Unified,Los Angeles,96,90,439,434,435,17,18.89
19647330102921,S,Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,97,90,510,538,509,55,61.11
19647330106351,S,Ivy Academia,Los Angeles Unified,Los Angeles,49,37,416,418,431,8,21.62
19647330106435,S,Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,0,106,406,418,413,14,13.21
19647330106831,S,Animo Venice Charter High,Los Angeles Unified,Los Angeles,150,129,416,411,414,17,13.18
19647330106849,S,Animo Pat Brown,Los Angeles Unified,Los Angeles,124,121,386,412,377,14,11.57
19647330106864,S,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,105,111,415,430,436,17,15.32
19647330106997,S,Orthopaedic Hospital,Los Angeles Unified,Los Angeles,171,137,448,449,444,35,25.55
19647330107003,S,Northridge Academy High,Los Angeles Unified,Los Angeles,222,152,461,463,464,49,32.24
19647330107011,S,International Studies Learning Center at Legacy Hi,Los Angeles Unified,Los Angeles,63,42,453,465,457,14,33.33
19647330107755,S,Port of Los Angeles High,Los Angeles Unified,Los Angeles,207,148,483,500,487,63,42.57
19647330108878,S,CHAMPS - Charter HS of Arts-Multimedia & Performin,Los Angeles Unified,Los Angeles,240,162,501,464,497,69,42.59
19647330108894,S,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,149,131,391,413,408,16,12.21
19647330108936,S,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,156,161,381,408,390,13,8.07
19647330109322,S,Pacific Boulevard,Los Angeles Unified,Los Angeles,26,0,NA,NA,NA,NA,NA
19647330109447,S,Santee Education Complex,Los Angeles Unified,Los Angeles,274,172,388,371,382,11,6.40
19647330109454,S,South East High,Los Angeles Unified,Los Angeles,423,256,433,425,439,59,23.05
19647330109462,S,Maywood Academy High,Los Angeles Unified,Los Angeles,245,141,421,436,420,29,20.57
19647330109553,S,PUC CA Academy for Liberal Studies Early College H,Los Angeles Unified,Los Angeles,46,53,422,435,437,6,11.32
19647330110304,S,Los Angeles Academy of Arts & Enterprise Charter,Los Angeles Unified,Los Angeles,25,29,385,386,388,3,10.34
19647330110668,S,Frida Kahlo High,Los Angeles Unified,Los Angeles,39,1,,,,,
19647330111484,S,New Village Girls Academy,Los Angeles Unified,Los Angeles,22,16,370,320,374,0,0.00
19647330111492,S,Alliance Patti And Peter Neuwirth Leadership Acade,Los Angeles Unified,Los Angeles,159,177,378,397,386,9,5.08
19647330111500,S,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,104,108,390,422,407,15,13.89
19647330111575,S,Animo Ralph Bunche High,Los Angeles Unified,Los Angeles,126,80,361,385,387,1,1.25
19647330111583,S,Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,139,117,381,398,377,11,9.40
19647330111625,S,Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,123,95,371,359,362,3,3.16
19647330111641,S,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,141,124,388,381,397,12,9.68
19647330111658,S,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,143,142,426,433,439,30,21.13
19647330112029,S,School of Business and Tourism at Contreras Learni,Los Angeles Unified,Los Angeles,93,75,401,400,403,7,9.33
19647330112037,S,East Valley Senior High,Los Angeles Unified,Los Angeles,155,82,397,404,415,12,14.63
19647330112045,S,Arleta High,Los Angeles Unified,Los Angeles,356,236,390,404,397,21,8.90
19647330112052,S,Panorama High,Los Angeles Unified,Los Angeles,234,103,413,421,411,13,12.62
19647330112508,S,Bright Star Secondary Charter Academy,Los Angeles Unified,Los Angeles,108,108,431,443,435,20,18.52
19647330112557,S,Frederick Douglass Academy High,Los Angeles Unified,Los Angeles,69,56,377,365,378,3,5.36
19647330112862,S,Student Empowerment Academy,Los Angeles Unified,Los Angeles,55,35,360,370,372,1,2.86
19647330112870,S,Contreras Learning Center-Los Angeles School of Gl,Los Angeles Unified,Los Angeles,83,63,386,397,378,3,4.76
19647330114850,S,West Adams Preparatory High,Los Angeles Unified,Los Angeles,356,208,391,405,385,13,6.25
19647330115030,S,Magnolia Science Academy 3,Los Angeles Unified,Los Angeles,47,46,407,433,418,6,13.04
19647330115212,S,Magnolia Science Academy 2,Los Angeles Unified,Los Angeles,29,23,446,457,427,6,26.09
19647330115253,S,Discovery Charter Preparatory No. 2,Los Angeles Unified,Los Angeles,78,72,365,371,373,3,4.17
19647330116509,S,Alliance Media Arts and Entertainment Design High,Los Angeles Unified,Los Angeles,68,70,371,384,375,4,5.71
19647330117051,S,Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,277,151,418,409,408,21,13.91
19647330117069,S,Helen Bernstein High,Los Angeles Unified,Los Angeles,121,49,391,389,391,3,6.12
19647330117077,S,APEX Academy,Los Angeles Unified,Los Angeles,125,47,376,371,368,2,4.26
19647330117598,S,Alliance Health Services Academy High,Los Angeles Unified,Los Angeles,112,83,380,390,393,10,12.05
19647330117606,S,Alliance Environmental Science and Technology High,Los Angeles Unified,Los Angeles,146,102,430,423,444,21,20.59
19647330117622,S,Magnolia Science Academy 4,Los Angeles Unified,Los Angeles,30,24,409,407,405,2,8.33
19647330117721,S,Contreras Learning Center-Academic Leadership Comm,Los Angeles Unified,Los Angeles,78,57,384,412,390,4,7.02
19647330117747,S,RFK Community Schools-Los Angeles High School of t,Los Angeles Unified,Los Angeles,98,58,408,411,409,10,17.24
19647330117754,S,Belmont SH-LA Teacher Preparatory Academy,Los Angeles Unified,Los Angeles,34,32,331,359,339,1,3.13
19647330117762,S,RFK Community Schools- for the Visual Arts and Hum,Los Angeles Unified,Los Angeles,81,71,392,416,394,12,16.90
19647330117911,S,New Millennium Secondary,Los Angeles Unified,Los Angeles,67,44,387,378,388,3,6.82
19647330118588,S,Alain Leroy Locke College Prep Academy,Los Angeles Unified,Los Angeles,523,281,358,377,364,15,5.34
19647330119651,S,Sun Valley High,Los Angeles Unified,Los Angeles,106,30,391,408,385,3,10.00
19647330119685,S,RFK Community Schools-New Open World Academy K-12,Los Angeles Unified,Los Angeles,45,33,402,387,402,2,6.06
19647330119693,S,RFK Community Schools-UCLA Community K-12,Los Angeles Unified,Los Angeles,75,61,384,404,392,6,9.84
19647330119727,S,Ramon C. Cortines School of Visual and Performing,Los Angeles Unified,Los Angeles,356,249,451,434,446,73,29.32
19647330119966,S,Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,142,58,390,396,382,6,10.34
19647330120071,S,New Designs Charter School-Watts,Los Angeles Unified,Los Angeles,21,16,393,375,371,0,0.00
19647330120360,S,Daniel Pearl Journalism & Communications Magnet,Los Angeles Unified,Los Angeles,112,83,489,462,470,30,36.14
19647330121095,S,RFK Community Schools-Ambassador-Global Leadership,Los Angeles Unified,Los Angeles,71,40,419,406,412,9,22.50
19647330121285,S,Alliance Cindy and Bill Simon Technology Academy H,Los Angeles Unified,Los Angeles,118,97,382,395,364,7,7.22
19647330121293,S,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,94,79,393,407,385,7,8.86
19647330122275,S,Academy of Environmental & Social Policy (ESP) at,Los Angeles Unified,Los Angeles,68,45,396,386,390,3,6.67
19647330122333,S,"Math, Science, & Technology Magnet Academy at Roos",Los Angeles Unified,Los Angeles,82,69,450,455,447,23,33.33
19647330122341,S,East Los Angeles Performing Arts Academy at Esteba,Los Angeles Unified,Los Angeles,127,80,375,375,378,4,5.00
19647330122358,S,Humanitas Academy of Art and Technology at Esteban,Los Angeles Unified,Los Angeles,100,65,382,377,386,5,7.69
19647330122366,S,Social Justice Leadership Academy at Esteban E. To,Los Angeles Unified,Los Angeles,93,79,364,357,371,1,1.27
19647330122374,S,East Los Angeles Renaissance Academy at Esteban E.,Los Angeles Unified,Los Angeles,66,56,404,393,388,5,8.93
19647330122382,S,Engineering and Technology Academy at Esteban E. T,Los Angeles Unified,Los Angeles,92,74,402,393,395,12,16.22
19647330122598,S,PUC Triumph Charter High,Los Angeles Unified,Los Angeles,51,0,NA,NA,NA,NA,NA
19647330122606,S,PUC Lakeview Charter High,Los Angeles Unified,Los Angeles,84,89,380,395,390,6,6.74
19647330122721,S,Aspire Pacific Academy,Los Angeles Unified,Los Angeles,126,133,401,405,394,15,11.28
19647330122762,S,Los Angeles Big Picture High,Los Angeles Unified,Los Angeles,14,0,NA,NA,NA,NA,NA
19647330123141,S,Alliance College-Ready Academy High 16,Los Angeles Unified,Los Angeles,94,92,382,387,378,8,8.70
19647330124362,S,Valley Academy of Arts and Sciences,Los Angeles Unified,Los Angeles,303,186,447,432,440,39,20.97
19647330124370,S,"Cesar E. Chavez Learning Academies-Arts,Theatre, E",Los Angeles Unified,Los Angeles,104,63,361,354,369,2,3.17
19647330124388,S,Cesar E. Chavez Learning Academies-Social Justice,Los Angeles Unified,Los Angeles,94,90,392,387,401,11,12.22
19647330124396,S,Cesar E. Chavez Learning Academies-Academy of Scie,Los Angeles Unified,Los Angeles,98,66,427,396,413,6,9.09
19647330124404,S,Cesar E. Chavez Learning Academies-Teacher Prepara,Los Angeles Unified,Los Angeles,113,50,402,389,401,4,8.00
19647330124412,S,Los Angeles River at Sonia Sotomayor Learning Acad,Los Angeles Unified,Los Angeles,82,62,390,379,383,4,6.45
19647330124420,S,School of History and Dramatic Arts at Sonia Sotom,Los Angeles Unified,Los Angeles,104,77,433,427,430,18,23.38
19647330124479,S,Dr. Maya Angelou Community High,Los Angeles Unified,Los Angeles,247,92,368,345,363,5,5.43
19647330124487,S,Public Service Community at Diego Rivera Learning,Los Angeles Unified,Los Angeles,96,38,383,389,406,2,5.26
19647330124495,S,Communication and Technology at Diego Rivera Learn,Los Angeles Unified,Los Angeles,87,55,384,387,373,3,5.45
19647330124503,S,Green Design at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,80,49,370,375,375,1,2.04
19647330124511,S,Performing Arts Community at Diego Rivera Learning,Los Angeles Unified,Los Angeles,82,64,353,368,372,2,3.13
19647330124529,S,Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,187,125,423,407,420,15,12.00
19647330124560,S,Synergy Quantum Academy,Los Angeles Unified,Los Angeles,134,113,425,412,419,24,21.24
19647330124883,S,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,88,49,350,343,359,1,2.04
19647330124891,S,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,110,92,372,402,364,6,6.52
19647330124933,S,PUC Early College Academy for Leaders and Scholars,Los Angeles Unified,Los Angeles,65,67,383,381,401,8,11.94
19647330124941,S,Alliance Margaret M. Bloomfield Technology Academy,Los Angeles Unified,Los Angeles,0,1,,,,,
19647330125963,S,Leadership in Entertainment and Media Arts (LEMA),Los Angeles Unified,Los Angeles,80,33,361,346,354,0,0.00
19647330125989,S,STEM Academy at Bernstein High,Los Angeles Unified,Los Angeles,78,68,391,392,399,9,13.24
19647330126185,S,Academy of Science and Engineering,Los Angeles Unified,Los Angeles,0,4,,,,,
19647330126482,S,Augustus F. Hawkins High A Critical Design and Gam,Los Angeles Unified,Los Angeles,66,50,361,356,354,0,0.00
19647330126490,S,Augustus F. Hawkins High B Community Health Advoca,Los Angeles Unified,Los Angeles,70,63,356,328,366,2,3.17
19647330126508,S,Augustus F. Hawkins High C Responsible Indigenous,Los Angeles Unified,Los Angeles,55,52,342,341,346,1,1.92
19647330126516,S,Linda Esperanza Marquez High A Huntington Park Ins,Los Angeles Unified,Los Angeles,101,45,428,405,431,7,15.56
19647330126524,S,Linda Esperanza Marquez High B LIBRA Academy,Los Angeles Unified,Los Angeles,111,82,427,427,410,15,18.29
19647330126532,S,Linda Esperanza Marquez High C School of Social Ju,Los Angeles Unified,Los Angeles,84,44,436,445,423,7,15.91
19647330126540,S,"Science, Technology, Engineering, Arts and Mathema",Los Angeles Unified,Los Angeles,29,17,384,382,383,1,5.88
19647330126557,S,Visual and Performing Arts at Legacy High School C,Los Angeles Unified,Los Angeles,30,19,392,379,386,1,5.26
19647330126573,S,Academy for Multilingual Arts and Science at Mervy,Los Angeles Unified,Los Angeles,48,28,366,350,377,0,0.00
19647330126615,S,Academies of Education and Empowerment at Carson H,Los Angeles Unified,Los Angeles,128,84,410,417,403,8,9.52
19647330126623,S,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,141,115,417,431,417,15,13.04
19647330127787,S,Humanities and Arts (HARTS) Academy of Los Angeles,Los Angeles Unified,Los Angeles,63,25,446,421,425,2,8.00
19647330127795,S,Contreras Learning Center-School of Social Justice,Los Angeles Unified,Los Angeles,89,76,377,369,383,3,3.95
19647330127803,S,Early College Academy-LA Trade Tech College,Los Angeles Unified,Los Angeles,94,2,,,,,
19647330127910,S,Camino Nuevo High No. 2,Los Angeles Unified,Los Angeles,117,0,NA,NA,NA,NA,NA
19647331930064,S,William Tell Aggeler Opportunity High,Los Angeles Unified,Los Angeles,21,0,NA,NA,NA,NA,NA
19647331930296,S,Harris Newmark Continuation,Los Angeles Unified,Los Angeles,85,1,,,,,
19647331930403,S,Whitney Young Continuation,Los Angeles Unified,Los Angeles,12,1,,,,,
19647331930429,S,View Park Continuation,Los Angeles Unified,Los Angeles,27,8,,,,,
19647331930619,S,Harold McAlister High (Opportunity),Los Angeles Unified,Los Angeles,43,2,,,,,
19647331930650,S,Phineas Banning Senior High,Los Angeles Unified,Los Angeles,428,309,405,424,408,40,12.94
19647331930692,S,Thomas Riley High,Los Angeles Unified,Los Angeles,31,2,,,,,
19647331930734,S,Angel's Gate (Continuation),Los Angeles Unified,Los Angeles,21,1,,,,,
19647331930866,S,Bell Senior High,Los Angeles Unified,Los Angeles,845,411,420,439,420,64,15.57
19647331930924,S,Belmont Senior High,Los Angeles Unified,Los Angeles,244,175,390,409,401,17,9.71
19647331930940,S,John R. Wooden High,Los Angeles Unified,Los Angeles,49,3,,,,,
19647331931047,S,Birmingham Community Charter High,Los Angeles Unified,Los Angeles,705,327,433,428,433,60,18.35
19647331931385,S,Albert Einstein Continuation,Los Angeles Unified,Los Angeles,23,1,,,,,
19647331931393,S,Highland Park Continuation,Los Angeles Unified,Los Angeles,16,2,,,,,
19647331931450,S,Jack London Continuation,Los Angeles Unified,Los Angeles,34,1,,,,,
19647331931476,S,Canoga Park Senior High,Los Angeles Unified,Los Angeles,295,124,442,429,426,22,17.74
19647331931484,S,Mission Continuation,Los Angeles Unified,Los Angeles,38,3,,,,,
19647331931526,S,Carson Senior High,Los Angeles Unified,Los Angeles,281,135,438,431,432,28,20.74
19647331931708,S,Chatsworth Charter High,Los Angeles Unified,Los Angeles,576,238,458,455,446,71,29.83
19647331931716,S,Valley Alternative Magnet,Los Angeles Unified,Los Angeles,32,19,463,469,457,6,31.58
19647331931864,S,Grover Cleveland Charter High,Los Angeles Unified,Los Angeles,777,428,507,507,509,215,50.23
19647331932128,S,"Crenshaw Science, Technology, Engineering, Math an",Los Angeles Unified,Los Angeles,267,150,375,374,368,3,2.00
19647331932250,S,Henry David Thoreau Continuation,Los Angeles Unified,Los Angeles,22,1,,,,,
19647331932383,S,Susan Miller Dorsey Senior High,Los Angeles Unified,Los Angeles,271,143,374,359,378,6,4.20
19647331932540,S,Eagle Rock High,Los Angeles Unified,Los Angeles,413,288,469,471,460,101,35.07
19647331932623,S,El Camino Real Charter High,Los Angeles Unified,Los Angeles,943,428,517,532,514,246,57.48
19647331932847,S,Los Angeles Center for Enriched Studies,Los Angeles Unified,Los Angeles,228,207,550,579,559,152,73.43
19647331932888,S,Downtown Business High,Los Angeles Unified,Los Angeles,211,195,475,505,464,73,37.44
19647331932920,S,Fairfax Senior High,Los Angeles Unified,Los Angeles,469,275,454,466,450,81,29.45
19647331932987,S,John H. Francis Polytechnic,Los Angeles Unified,Los Angeles,775,417,437,455,439,99,23.74
19647331933001,S,King/Drew Medical Magnet High,Los Angeles Unified,Los Angeles,315,275,447,451,458,78,28.36
19647331933043,S,Benjamin Franklin Senior High,Los Angeles Unified,Los Angeles,306,194,440,448,427,51,26.29
19647331933118,S,John C. Fremont Senior High,Los Angeles Unified,Los Angeles,460,227,386,388,383,16,7.05
19647331933233,S,Sherman Oaks Center for Enriched Studies,Los Angeles Unified,Los Angeles,249,200,517,521,525,117,58.50
19647331933241,S,Gardena Senior High,Los Angeles Unified,Los Angeles,310,132,421,400,417,18,13.64
19647331933381,S,James A. Garfield Senior High,Los Angeles Unified,Los Angeles,642,351,408,420,404,42,11.97
19647331933746,S,Granada Hills Charter High,Los Angeles Unified,Los Angeles,1080,748,539,560,543,505,67.51
19647331933795,S,Ulysses S. Grant Senior High,Los Angeles Unified,Los Angeles,460,167,429,430,438,33,19.76
19647331933852,S,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,642,459,482,462,481,176,38.34
19647331934033,S,Hollywood Senior High,Los Angeles Unified,Los Angeles,341,235,448,447,444,57,24.26
19647331934157,S,Huntington Park Senior High,Los Angeles Unified,Los Angeles,369,185,387,391,388,12,6.49
19647331934371,S,Thomas Jefferson Senior High,Los Angeles Unified,Los Angeles,242,127,368,377,373,6,4.72
19647331934454,S,David Starr Jordan Senior High,Los Angeles Unified,Los Angeles,128,46,402,394,389,3,6.52
19647331935121,S,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,305,181,432,462,425,50,27.62
19647331935352,S,Los Angeles Senior High,Los Angeles Unified,Los Angeles,311,182,414,430,410,29,15.93
19647331935519,S,Manual Arts Senior High,Los Angeles Unified,Los Angeles,347,209,373,374,376,10,4.78
19647331935568,S,John Marshall Senior High,Los Angeles Unified,Los Angeles,601,365,490,493,485,164,44.93
19647331935865,S,James Monroe High,Los Angeles Unified,Los Angeles,520,225,438,430,437,55,24.44
19647331936160,S,Nathaniel Narbonne Senior High,Los Angeles Unified,Los Angeles,446,278,446,446,438,66,23.74
19647331936350,S,North Hollywood Senior High,Los Angeles Unified,Los Angeles,602,400,517,516,510,191,47.75
19647331937085,S,Ramona Opportunity High,Los Angeles Unified,Los Angeles,15,0,NA,NA,NA,NA,NA
19647331937226,S,Reseda Senior High,Los Angeles Unified,Los Angeles,454,210,446,449,440,56,26.67
19647331937424,S,Theodore Roosevelt Senior High,Los Angeles Unified,Los Angeles,468,229,392,396,390,22,9.61
19647331937622,S,San Fernando Senior High,Los Angeles Unified,Los Angeles,477,238,416,436,413,41,17.23
19647331937838,S,San Pedro Senior High,Los Angeles Unified,Los Angeles,550,243,460,456,455,73,30.04
19647331938307,S,South Gate Senior High,Los Angeles Unified,Los Angeles,599,354,409,410,421,46,12.99
19647331938554,S,Sylmar Senior High,Los Angeles Unified,Los Angeles,482,276,411,417,406,32,11.59
19647331938612,S,William Howard Taft Charter High,Los Angeles Unified,Los Angeles,516,296,511,530,524,169,57.09
19647331938885,S,University Senior High,Los Angeles Unified,Los Angeles,407,248,457,462,456,81,32.66
19647331938968,S,Van Nuys Senior High,Los Angeles Unified,Los Angeles,567,340,518,539,511,194,57.06
19647331939040,S,Venice Senior High,Los Angeles Unified,Los Angeles,390,222,475,480,468,77,34.68
19647331939107,S,Verdugo Hills Senior High,Los Angeles Unified,Los Angeles,315,182,449,479,449,57,31.32
19647331939305,S,George Washington Preparatory High,Los Angeles Unified,Los Angeles,261,124,375,360,375,4,3.23
19647331939479,S,WESM Health/Sports Medicine,Los Angeles Unified,Los Angeles,220,158,445,425,435,36,22.78
19647331939859,S,Woodrow Wilson Senior High,Los Angeles Unified,Los Angeles,395,240,398,408,396,23,9.58
19647331939941,S,John F. Kennedy High,Los Angeles Unified,Los Angeles,434,227,434,440,432,46,20.26
19647331995448,S,Francisco Bravo Medical Magnet High,Los Angeles Unified,Los Angeles,378,369,477,485,474,137,37.13
19647331995489,S,Los Angeles Unified Alternative Education,Los Angeles Unified,Los Angeles,413,0,NA,NA,NA,NA,NA
19647331995794,S,Youth Opportunities Unlimited,Los Angeles Unified,Los Angeles,99,1,,,,,
19647331995836,S,Palisades Charter High,Los Angeles Unified,Los Angeles,632,452,531,538,525,262,57.96
19647331996115,S,City of Angels,Los Angeles Unified,Los Angeles,430,20,507,451,501,9,45.00
19647331996610,S,Los Angeles Leadership Academy,Los Angeles Unified,Los Angeles,47,33,418,426,425,6,18.18
19647336016885,S,Elizabeth Learning Center,Los Angeles Unified,Los Angeles,124,83,407,393,414,5,6.02
19647336019475,S,Thirty-Second Street USC Performing Arts,Los Angeles Unified,Los Angeles,69,58,447,442,442,11,18.97
19647336019715,S,Vaughn Next Century Learning Center,Los Angeles Unified,Los Angeles,127,87,459,444,446,22,25.29
19647336058002,S,Robert Fulton College Preparatory,Los Angeles Unified,Los Angeles,135,108,390,379,399,11,10.19
19647336061451,S,Foshay Learning Center,Los Angeles Unified,Los Angeles,182,164,438,442,453,43,26.22
19647336116750,S,PUC Community Charter Middle and PUC Community Cha,Los Angeles Unified,Los Angeles,114,0,NA,NA,NA,NA,NA
19647336119945,S,Magnolia Science Academy,Los Angeles Unified,Los Angeles,57,55,475,501,470,23,41.82
19647740000000,D,,Lynwood Unified,Los Angeles,1166,476,402,406,407,47,9.87
19647740109538,S,Marco Antonio Firebaugh High,Lynwood Unified,Los Angeles,444,217,404,405,412,23,10.60
19647740114777,S,Pathway Independent Study,Lynwood Unified,Los Angeles,78,0,NA,NA,NA,NA,NA
19647741935436,S,Lynwood High,Lynwood Unified,Los Angeles,475,259,400,406,403,24,9.27
19647900000000,D,,Monrovia Unified,Los Angeles,529,240,485,489,475,101,42.08
19647901935899,S,Canyon Oaks High,Monrovia Unified,Los Angeles,93,13,390,363,397,0,0.00
19647901935923,S,Monrovia High,Monrovia Unified,Los Angeles,401,214,491,499,480,97,45.33
19647901996404,S,Mountain Park,Monrovia Unified,Los Angeles,24,13,489,441,468,4,30.77
19648080000000,D,,Montebello Unified,Los Angeles,2649,905,435,443,439,199,21.99
19648080124552,S,Applied Technology Center,Montebello Unified,Los Angeles,155,83,422,411,420,12,14.46
19648081930155,S,Schurr High,Montebello Unified,Los Angeles,639,275,464,472,467,89,32.36
19648081930825,S,Bell Gardens High,Montebello Unified,Los Angeles,636,304,420,420,422,46,15.13
19648081935998,S,Montebello High,Montebello Unified,Los Angeles,747,243,427,451,435,52,21.40
19648400000000,D,,Norwalk-La Mirada Unified,Los Angeles,1607,1339,404,406,404,205,15.31
19648401933647,S,John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,401,365,375,385,367,25,6.85
19648401934728,S,La Mirada High,Norwalk-La Mirada Unified,Los Angeles,510,463,439,436,437,106,22.89
