cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
04615150435602,S,Oroville High,Oroville Union High,Butte,204,49,464,485,446,16,32.65
04615310000000,D,,Paradise Unified,Butte,320,52,526,545,504,32,61.54
04615310121715,S,Paradise eLearning Academy,Paradise Unified,Butte,19,0,NA,NA,NA,NA,NA
04615310437350,S,Paradise Senior High,Paradise Unified,Butte,229,52,526,545,504,32,61.54
04615316112585,S,Hometech Charter,Paradise Unified,Butte,21,0,NA,NA,NA,NA,NA
04755070000000,D,,Gridley Unified,Butte,163,37,503,495,502,19,51.35
04755070433946,S,Esperanza High (Continuation),Gridley Unified,Butte,13,1,,,,,
04755070433953,S,Gridley High,Gridley Unified,Butte,150,36,498,491,497,18,50.00
05000000000000,C,,,Calaveras,534,125,532,524,513,78,62.40
05100580000000,D,,Calaveras County Office of Education,Calaveras,81,4,,,,,
05100580530154,S,Mountain Oaks,Calaveras County Office of Education,Calaveras,67,4,,,,,
05615560000000,D,,Bret Harte Union High,Calaveras,182,60,547,550,541,43,71.67
05615560532507,S,Bret Harte Union High,Bret Harte Union High,Calaveras,163,60,547,550,541,43,71.67
05615640000000,D,,Calaveras Unified,Calaveras,271,61,513,503,485,33,54.10
05615640530055,S,Calaveras Unified Alternative-Sierra Hills Educati,Calaveras Unified,Calaveras,11,0,NA,NA,NA,NA,NA
05615640531509,S,Calaveras High,Calaveras Unified,Calaveras,227,61,513,503,485,33,54.10
06000000000000,C,,,Colusa,319,104,468,466,454,33,31.73
06615980000000,D,,Colusa Unified,Colusa,107,38,476,502,457,15,39.47
06615980630012,S,Colusa Alternative High (Continuation),Colusa Unified,Colusa,16,1,,,,,
06615980630046,S,Colusa Alternative Home,Colusa Unified,Colusa,14,0,NA,NA,NA,NA,NA
06615980631259,S,Colusa High,Colusa Unified,Colusa,77,37,472,501,454,14,37.84
06616060000000,D,,Maxwell Unified,Colusa,24,13,466,442,449,4,30.77
06616060634758,S,Maxwell Jr/Sr High,Maxwell Unified,Colusa,24,13,466,442,449,4,30.77
06616140000000,D,,Pierce Joint Unified,Colusa,87,27,458,443,432,8,29.63
